Particulars,Unit, 5-1997, 6-1997, 7-1997, 8-1997, 9-1997, 10-1997, 11-1997, 12-1997, 1-1998, 2-1998, 3-1998, 3-1999, 3-2000, 3-2001, 3-2002, 3-2003, 3-2004, 3-2005, 3-2006, 3-2007, 5-2007, 6-2007, 7-2007, 8-2007, 9-2007, 10-2007, 12-2007, 1-2008, 3-2008, 3-2009, 10-2009, 12-2009, 3-2010, 4-2010, 5-2010, 6-2010, 7-2010, 8-2010, 9-2010, 10-2010, 11-2010, 12-2010, 3-2011, 4-2011, 5-2011, 6-2011, 7-2011, 8-2011, 9-2011, 10-2011, 11-2011, 12-2011
Production Food Product Sugar,Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4140,2210,880,560,360,130,80,200,2230,5260
Production Food Product Milk Powder,Ton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11252,10159,8817,7953,6791,8336,7862,8356,13434,18570
Production Food Product Biscuits,Ton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50522,53199,57649,60954,63477,59018,57884,46243,52057,51774
Production Food Product Chocolate and Sugar Confectionary,Ton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11510,11208,10172,9267,11484,9320,9750,11061,11518,11096
Production Food Product Malted Food,Ton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4172,3886,4726,4404,3962,4216,4556,4137,6056,5770
Production Food Product Wheat Flour and maida,Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,101,100,109,106,104,116,116,102,101
Production Food Product Salt,Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1912,2795,3667,5734,786,552,623,598,799,1157
(DC)Production Food Product Guar Gum,Ton,1968,2233,2126,2509,2463,1826,1781,2163,2627,2657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Production Edible Oil Edible Hydrogenated Oil,Ton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73417,76661,138360,108744,142485,94619,114908,96346,109966,85826
Production Edible Oil Soyabean Oil,Ton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102343,84539,129742,123449,86914,116809,123438,182207,305520,257742
